Time-from-meal,BGL,Heart_Rate,md_so,md_sd,t_sd,md_do,sd_r
600,113.4,117,-0.001296203,0.003194959,0.16,-0.004491162,-2.464859801
600,113.4,120,0.013965449,0.007867225,0.137230769,0.006098223,0.563334948
600,113.4,117,0.007907914,0.004519673,0.138285714,0.003388241,0.571538007
600,113.4,126,0.007515796,0.005227141,0.1408,0.002288655,0.695487396
600,113.4,114,0.008649671,0.005777907,0.142857143,0.002871764,0.667991481
600,113.4,120,0.005738162,0.004742675,0.141538462,0.000995488,0.826514572
600,113.4,120,-0.006041036,0.001112962,0.138285714,-0.007153998,-0.1842337
600,113.4,120,-0.006706701,0.000954848,0.139428571,-0.007661548,-0.142372184
600,113.4,120,-0.006706701,0.000954848,0.139428571,-0.007661548,-0.142372184
600,113.4,114,-0.002832207,0.001640097,0.129846154,-0.004472303,-0.579087937
600,113.4,120,-0.003260484,0.002161044,0.141142857,-0.005421529,-0.662798616
600,113.4,117,-0.000624501,0.001113425,0.14,-0.001737927,-1.782902385
600,113.4,120,0.005783603,0.003516697,0.140571429,0.002266906,0.608046034
600,113.4,117,0.006427948,0.003875104,0.140571429,0.002552843,0.602852517
600,113.4,126,0.006128498,0.004496245,0.143466667,0.001632253,0.733661822
600,113.4,114,0.006651268,0.004633996,0.146285714,0.002017271,0.696708751
600,113.4,120,0.004664197,0.003738502,0.142285714,0.000925695,0.801531757
950,79.2,114,0.003806615,0.002378028,0.144,0.001428587,0.624709374
950,79.2,117,0.006459629,0.004887752,0.142,0.001571877,0.756661485
950,79.2,120,-0.003150586,0.002159286,0.147076923,-0.005309872,-0.685360049
950,79.2,120,-0.004745455,0.001071822,0.134769231,-0.005817277,-0.225862929
950,79.2,111,0.012785988,0.004528781,0.137333333,0.008257208,0.354198702
600,122.4,96,0.012582666,0.011401953,0.153066667,0.001180713,0.906163542
600,122.4,99,0.013148642,0.011645194,0.159,0.001503449,0.885657482
600,122.4,99,0.014118243,0.011028018,0.154666667,0.003090225,0.781118285
600,122.4,105,0.012588237,0.009582885,0.1488,0.003005352,0.761257083
600,122.4,102,0.01094789,0.008012468,0.144,0.002935422,0.731873249
600,122.4,108,0.009932907,0.008411697,0.146666667,0.001521209,0.846851527
600,122.4,111,0.015416308,0.012754264,0.157333333,0.002662044,0.827322886
600,122.4,111,0.017340683,0.013294821,0.157866667,0.004045862,0.766683816
600,122.4,111,0.015507084,0.012379806,0.162666667,0.003127278,0.798332277
600,122.4,99,0.015945149,0.014166235,0.168533333,0.001778914,0.888435437
600,122.4,99,-0.005503871,0.002438869,0.164266667,-0.00794274,-0.443118784
600,122.4,102,-0.00519666,0.002149482,0.1616,-0.007346142,-0.413627596
600,122.4,108,-0.006724288,0.000860009,0.141714286,-0.007584297,-0.1278959
600,122.4,108,-0.006791261,0.000703603,0.137066667,-0.007494863,-0.10360411
600,122.4,114,-0.006878874,0.000823443,0.145066667,-0.007702316,-0.119706031
600,122.4,108,-0.004854023,0.002275549,0.161066667,-0.007129573,-0.468796555
600,122.4,114,-0.003903652,0.002957411,0.172266667,-0.006861063,-0.757600966
600,122.4,108,-0.00467974,0.00228177,0.161142857,-0.00696151,-0.487584885
600,122.4,108,-0.004001788,0.003107409,0.1675,-0.007109197,-0.776505137
600,122.4,114,-0.002498343,0.004378892,0.174933333,-0.006877235,-1.7527183
600,122.4,99,-0.001880094,0.005273745,0.180266667,-0.007153838,-2.805043473
600,122.4,114,-0.002198325,0.004889008,0.1776,-0.007087332,-2.22396979
600,122.4,99,-0.001410688,0.005275565,0.1664,-0.006686253,-3.739710942
600,122.4,102,-0.001230059,0.004553219,0.162666667,-0.005783278,-3.701625495
600,122.4,108,-0.004436881,0.001912523,0.145714286,-0.006349404,-0.431051237
600,122.4,108,-0.004728456,0.001574011,0.138666667,-0.006302467,-0.332880416
600,122.4,114,-0.005071441,0.001709498,0.148266667,-0.006780939,-0.337083323
600,122.4,108,-0.000787154,0.004841904,0.1616,-0.005629058,-6.151155606
600,122.4,114,0.001072078,0.006293848,0.171733333,-0.00522177,5.870701741
600,122.4,105,-0.000350017,0.004937409,0.161714286,-0.005287426,-14.10618071
600,122.4,108,0.001077432,0.006760388,0.1685,-0.005682955,6.274536809
600,122.4,114,0.003671216,0.009051417,0.176,-0.005380201,2.465509285
600,122.4,114,0.003597994,0.009419688,0.1776,-0.005821694,2.618038766
600,122.4,93,0.010264569,0.00977395,0.152,0.000490619,0.952202623
600,122.4,99,0.010074856,0.009312978,0.155,0.000761878,0.924378251
600,122.4,99,0.011562767,0.009679948,0.155733333,0.001882819,0.837165369
600,122.4,105,0.009505348,0.007715108,0.1472,0.00179024,0.811659723
600,122.4,102,0.007933995,0.006209706,0.141333333,0.001724289,0.78267079
600,122.4,108,0.007285122,0.006711735,0.1456,0.000573387,0.921293413
600,122.4,111,0.012257193,0.010817084,0.159466667,0.001440108,0.882509123
600,122.4,111,0.014267554,0.011411053,0.157333333,0.002856501,0.799790445
600,122.4,102,0.014700481,0.013800061,0.164266667,0.00090042,0.938748928
600,122.4,111,0.017138568,0.01409047,0.1616,0.003048098,0.822149787
600,122.4,99,0.017793564,0.016214637,0.168,0.001578928,0.911264115
950,93.6,111,0.016129346,0.010181517,0.146285714,0.00594783,0.631241739
950,93.6,102,0.018837614,0.012319023,0.154285714,0.006518592,0.653958749
950,93.6,111,0.017226121,0.012036677,0.1568,0.005189444,0.698745632
950,93.6,102,0.015687688,0.013978258,0.171,0.00170943,0.891033631
950,93.6,102,0.015406782,0.013517154,0.1712,0.001889628,0.877350876
950,93.6,114,0.009256739,0.008108632,0.165333333,0.001148107,0.875970705
950,93.6,111,0.008920402,0.008103379,0.167466667,0.000817023,0.908409605
950,93.6,108,-0.005989839,0.001294005,0.144,-0.007283844,-0.216033427
950,93.6,114,-0.006175322,0.001274782,0.144,-0.007450104,-0.206431683
950,93.6,105,-0.005268187,0.001642939,0.143466667,-0.006911126,-0.3118604
950,93.6,111,-0.003968128,0.002722863,0.156266667,-0.006690991,-0.686183348
950,93.6,102,-0.00449743,0.003003789,0.172,-0.007501219,-0.667889993
950,93.6,102,-0.003793583,0.003459165,0.1728,-0.007252748,-0.911846225
950,93.6,102,-0.004370103,0.003371768,0.179,-0.007741871,-0.77155329
950,93.6,111,-0.003349116,0.003897307,0.1728,-0.007246423,-1.163682455
950,93.6,111,-0.003427648,0.002354058,0.145142857,-0.005781706,-0.686785307
950,93.6,105,-0.002286774,0.002844171,0.142933333,-0.005130944,-1.243748182
950,93.6,102,-0.001230595,0.003449831,0.151428571,-0.004680425,-2.803385071
950,93.6,108,-0.000399824,0.004127891,0.1536,-0.004527715,-10.32428111
950,93.6,102,-0.001550022,0.004102571,0.161066667,-0.005652593,-2.646782469
950,93.6,102,-0.000768545,0.005047883,0.1685,-0.005816428,-6.568100257
950,93.6,102,0.000633105,0.0059462,0.168533333,-0.005313095,9.392117154
950,93.6,99,0.00115638,0.008012416,0.1845,-0.006856036,6.928879516
950,93.6,102,-0.000354566,0.005978101,0.177,-0.006332667,-16.86032977
950,93.6,114,0.019142425,0.012595683,0.147428571,0.006546742,0.657998311
950,93.6,102,0.023239658,0.015420024,0.153142857,0.007819634,0.663521988
