cvds_code,cvds_title
390,Rheumatic fever without mention of heart involvement
391,Rheumatic fever with heart involvement
392,Rheumatic chorea
393,Chronic rheumatic pericarditis
394,Diseases of mitral valve
395,Diseases of aortic valve
396,Diseases of mitral and aortic valves
397,Diseases of other endocardial structures
398,Other rheumatic heart disease
401,Essential hypertension
402,Hypertensive heart disease
403,Hypertensive renal disease
404,Hypertensive heart and renal disease
405,Secondary hypertension
410,Acute myocardial infarction
411,Other acute ischaemic heart diseases
412,Old myocardial infarction
413,Angina pectoris
414,Other forms of chronic ischemic heart disease
415,Acute pulmonary heart disease
416,Chronic pulmonary heart disease
417,Other diseases of pulmonary circulation
420,Acute pericarditis
421,Acute and subacute endocarditis
422,Acute myocarditis
423,Other diseases of pericardium
424,Other diseases of endocardium
425,Cardiomyopathy
426,Conduction disorders
427,Cardiac dysrhythmias
428,Heart failure
429,Ill-defined descriptions and complications of heart disease
430,Subarachnoid haemorrhage
431,Intracerebral hemorrhage
432,Other and unspecified intracranial hemorrhage
433,"Occlusion and stenosis of precerebral arteries, not resulting in cerebral infarction"
434,Occlusion of cerebral arteries
435,Transient cerebral ischemia
436,Acute but ill-defined cerebrovascular disease
437,Other and ill-defined cerebrovascular disease
438,Late effects of cerebrovascular disease
440,Atherosclerosis
441,Aortic aneurysm and dissection
442,Other aneurysm and dissection
443,Other peripheral vascular diseases
444,Arterial embolism and thrombosis
445,Atheroembolism
446,Polyarteritis nodosa and allied conditions
447,Other disorders of arteries and arterioles
448,Disease of capillaries
449,Septic arterial embolism
451,Phlebitis and thrombophlebitis
452,Portal vein thrombosis
453,Other venous embolism and thrombosis
454,Varicose veins of lower extremities
455,Hemorrhoids
456,Varicose veins of other sites
457,Noninfective disorders of lymphatic channels
458,Hypotension
459,Other disorders of circulatory system in diseases classified elsewhere
